Menu Type,Menu Depth,Target Item,Interaction Type
Marking,1,Animals,Touch Board
Marking,1,Food,Touch Board
Marking,1,Clothing,Touch Board
Marking,2,Fish,Touch Board
Marking,2,Fruit,Touch Board
Marking,2,Bottoms,Touch Board
Marking,3,Goldfish,Touch Board
Marking,3,Orange,Touch Board
Marking,3,Jeans,Touch Board
Marking,1,Food,Mouse
Marking,1,Clothing,Mouse
Marking,1,Animals,Mouse
Marking,2,Vegetables,Mouse
Marking,2,Birds,Mouse
Marking,2,Shoes,Mouse
Marking,3,Potatoes,Mouse
Marking,3,Owl,Mouse
Marking,3,Boots,Mouse
Radial,1,Food,Touch Board
Radial,1,Continents,Touch Board
Radial,1,Clothing,Touch Board
Radial,2,Meat,Touch Board
Radial,2,Europe,Touch Board
Radial,2,Hats,Touch Board
Radial,3,Beef,Touch Board
Radial,3,T-Shirt,Touch Board
Radial,3,England,Touch Board
Radial,1,Food,Mouse
Radial,1,Clothing,Mouse
Radial,1,Animals,Mouse
Radial,2,Dairy,Mouse
Radial,2,America,Mouse
Radial,2,Shoes,Mouse
Radial,3,USA,Mouse
Radial,3,Milk,Mouse
Radial,3,Pineapple,Mouse
